name,lat,lng,address
Cooperstown Store,42.7006,-74.9243,5 Commons Drive Cooperstown New York 13326
Cortland Store,42.5947,-76.1804,3932 State Route 281 Cortland New York 13045
Norwich Store,42.5307,-75.5226,54 East Main Street Norwich New York 13815
Peru Store,44.5758,-73.5312,50 Gorman Way #1 Peru New York 12972
Rome Store,43.2128,-75.4557,217 Erie Boulevard West Rome New York 13440
Rutland Store,43.606,-72.9726,12 S. Main Street & Norton Place Rutland Vermont 05701
Saranac Lake Store,44.3295,-74.1313,156 Church Street Saranac Lake New York 12983
Sherrill Store,43.0768,-75.5982,87 East State Street Sherrill New York 13461
Warrensburg Store,43.4947,-73.7738,3836 Main Street Warrensburg New York 12885
Watertown Store,43.9747,-75.9464,22050 Seaway Shopping Center Watertown New York 13601